document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes,,,,,
64322,https://doi.org/10.1145/3485447.3511973,61591,https://github.com/uniqueuptopermutation/pecos,7039,https://github.com/jiong-zhang,https://github.com/uniqueuptopermutation/pecos/commits?author=jiong-zhang,6,467,167,41,71659,6436,code,no,,,Age of commit history matters here - ,,,,
49514,https://doi.org/10.48550/arXiv.2205.13051,47370,https://github.com/phernst/pytorch_radon,54593,https://github.com/phernst,https://github.com/phernst/pytorch_radon/commits?author=phernst,4,176,20,5,177,21,code,no,,,,,,,
32755,https://doi.org/10.1109/ICCV51070.2023.01834,31302,https://github.com/eslambakr/hrs_benchmark,57002,https://github.com/hrsbench,https://github.com/eslambakr/hrs_benchmark/commits?author=hrsbench,13,35399,225682,41,1169925,277660,code,unclear,,Project account ,,,,,
8200,https://doi.org/10.1371/journal.pmed.1003377,7917,https://github.com/jamiegriffin/malaria_simulation,22620,https://github.com/jamiegriffin,https://github.com/jamiegriffin/malaria_simulation/commits?author=jamiegriffin,15,17608,784,15,17608,784,code,no,,Repo owner,,,,,
21203,https://doi.org/10.1109/CVPRW50498.2020.00427,20340,https://github.com/hchoi71/amc-loss,41918,https://github.com/hchoi71,https://github.com/hchoi71/amc-loss/commits?author=hchoi71,38,1505,61,39,1509,62,code,yes,,First author repo owner,,,,,
29743,https://doi.org/10.1103/PhysRevD.109.055024,28485,https://github.com/zhenliuphys/maglevdm,53319,https://github.com/skalia618,https://github.com/zhenliuphys/maglevdm/commits?author=skalia618,12,8170,48,15,8174,50,code,yes,,,Weird algo miss here,,,,
65199,https://doi.org/10.1007/s11548-020-02305-w,62451,https://github.com/endiqq/fus-cnns_covid-19,87154,https://github.com/endiqq,https://github.com/endiqq/fus-cnns_covid-19/commits?author=endiqq,14,40046,29,14,40046,29,code,unclear,,Repo owner,,,,,
44438,https://doi.org/10.1371/journal.pcbi.1010078,42474,https://github.com/yunpku/infer_heterogeneity_from_incidence,71548,https://github.com/yunPKU,https://github.com/yunpku/infer_heterogeneity_from_incidence/commits?author=yunPKU,47,5523,3391,47,5523,3391,code,yes,,First author repo owner,,,,,
116196,https://doi.org/10.1145/3302516.3307357,112502,https://github.com/revec/llvm-revec,14631,https://github.com/echristo,https://github.com/revec/llvm-revec/commits?author=echristo,2491,0,0,100945,0,0,code,no,,Older branch ,,,,,
44861,https://doi.org/10.1371/journal.pcbi.1010069,42887,https://github.com/neurobox3d/calciumdynamics_app,72098,https://github.com/mastep84,https://github.com/neurobox3d/calciumdynamics_app/commits?author=mastep84,1,1,0,201,80570,55242,doc,no,,,,,,,
47606,https://doi.org/10.1007/978-3-031-06975-8_6,45585,https://github.com/uhh-iss/zeek,75507,https://github.com/jrolli,https://github.com/uhh-iss/zeek/commits?author=jrolli,,,,,,,code,no,,Alt branch ,,,,,
120464,https://doi.org/10.1103/PhysRevA.104.062432,116785,https://github.com/kgeorgopoulos2/qnoisecomb,141100,https://github.com/kgeorgopoulos2,https://github.com/kgeorgopoulos2/qnoisecomb/commits?author=kgeorgopoulos2,2,4,1,2,4,1,code,yes,,First author repo owner,Weird algo miss here,,,,
84060,https://doi.org/10.1109/TMM.2023.3238521,80823,https://github.com/nust-machine-intelligence-laboratory/fecanet,111873,https://github.com/paipaipake,https://github.com/nust-machine-intelligence-laboratory/fecanet/commits?author=paipaipake,7,18346,15,11,18346,15,code,no,,,,,,,
149435,https://doi.org/10.1017/S1471068421000399,145701,https://github.com/viktorbesin/nestelp,162531,https://github.com/e1026412,https://github.com/viktorbesin/nestelp/commits?author=e1026412,7,393,359,121,44809,34289,code,no,,likely temp account ,,,,,
17817,https://doi.org/10.48550/arXiv.2406.04148,17130,https://github.com/maijuka/fier,37229,https://github.com/maijuka,https://github.com/maijuka/fier/commits?author=maijuka,15,35445,15,15,35445,15,code,yes,,First author,,,,,
749,https://doi.org/10.3389/fcomp.2022.1041703,730,https://github.com/tuggeluk/pycls,1647,https://github.com/alimbekovKZ,https://github.com/tuggeluk/pycls/commits?author=alimbekovKZ,1,1,1,97,22363,9912,doc,no,,,,,,,
123533,https://doi.org/10.1145/3411764.3445315,119810,https://github.com/foroughp/manipulating-and-measuring-model-interpretability,143644,https://github.com/Foroughp,https://github.com/foroughp/manipulating-and-measuring-model-interpretability/commits?author=Foroughp,5,74107,4,5,74107,4,code,yes,,,Weird algo miss here,,,,
79107,https://doi.org/10.48550/arXiv.2303.09500,75995,https://github.com/heidekrueger/bnelearn,107440,https://github.com/kilichenko,https://github.com/heidekrueger/bnelearn/commits?author=kilichenko,78,18185,15373,1141,129214,100624,code,no,,,,,,,
66577,https://doi.org/10.1145/3447548.3467152,63796,https://github.com/pavelvesely/t-digest,42846,https://github.com/spenczar,https://github.com/pavelvesely/t-digest/commits?author=spenczar,1,9,1,395,2740105,2667949,doc,no,,,,,,,
41129,https://doi.org/10.1038/s41598-021-87709-7,39281,https://github.com/gcampede/terrorism-metagraphs,67511,https://github.com/gcampede,https://github.com/gcampede/terrorism-metagraphs/commits?author=gcampede,17,30595,29,17,30595,29,code,yes,,First author repo owner,Weird algo miss here,,,,
61912,https://doi.org/10.1145/3511808.3557275,59280,https://github.com/intellabs/nlp-architect,90822,https://github.com/chinnikrishna2231,https://github.com/intellabs/nlp-architect/commits?author=chinnikrishna2231,4,1479,125,451,601777,111623,code,no,,,,,,,
53557,https://doi.org/10.1109/ACCESS.2021.3112879,51256,https://github.com/gtlidar/tamp-manipulation,81979,https://github.com/edrumwri,https://github.com/gtlidar/tamp-manipulation/commits?author=edrumwri,176,0,0,25004,0,0,code,no,,Alt branch ,,,,,
155656,https://doi.org/10.1613/jair.1.13326,151946,https://github.com/kebaek/minigrid,166678,https://github.com/YX-S-Z,https://github.com/kebaek/minigrid/commits?author=YX-S-Z,6,40,13,41,10517,1970,code,yes,,First author,,,,,
136972,https://doi.org/10.1109/ICASSP49357.2023.10096189,133157,https://github.com/splend1d/t5lephone,73942,https://github.com/Splend1d,https://github.com/splend1d/t5lephone/commits?author=Splend1d,17,108653,88215,19,108747,88216,code,yes,,Repo owner,Surname in display name,,,,
