document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes
73555,https://doi.org/10.1007/978-3-030-01057-7_25,70549,https://github.com/gprathap/openbcipython,102154,https://github.com/rceballos98,https://github.com/gprathap/openbcipython/commits?author=rceballos98,45,7952,6237,174,409212,14904,other,no,no,commiter to original repo (this is forked)
10797,https://doi.org/10.1371/journal.pcbi.1007636,10480,https://github.com/oxpig/saab_plus,26375,https://github.com/oxpig-admin,https://github.com/oxpig/saab_plus/commits?author=oxpig-admin,0,0,0,24,198,165,other,unclear,no,alt account of repo owner (lab account)
35482,https://doi.org/10.1109/CVPR52729.2023.00495,33938,https://github.com/megvii-research/cvpr2023-unidistill,3948,https://github.com/kebijuelun,https://github.com/megvii-research/cvpr2023-unidistill/commits?author=kebijuelun,4,18,5,10,12303,6,doc,yes,no,
33968,https://doi.org/10.1109/ICRA48891.2023.10160855,32476,https://github.com/georgeliu233/strajnet,58663,https://github.com/georgeliu233,https://github.com/georgeliu233/strajnet/commits?author=georgeliu233,23,5349,358,23,5349,358,code,yes,no,repo owner
78186,https://doi.org/10.1109/TCSVT.2019.2935128,75083,https://github.com/jackryo/ricap,106526,https://github.com/jackryo,https://github.com/jackryo/ricap/commits?author=jackryo,1,848,0,1,848,0,code,yes,no,repo owner
88368,https://doi.org/10.1109/TPAMI.2023.3236725,85079,https://github.com/pkuyym/evolvingattention,115571,https://github.com/lizzylizzylizzy,https://github.com/pkuyym/evolvingattention/commits?author=lizzylizzylizzy,7,5548,17,11,16431,18,code,unclear,no,
17824,https://doi.org/10.48550/arXiv.2403.01924,17136,https://github.com/disi-unibo-nlp/medgenie,37236,https://github.com/disi-unibo-nlp,https://github.com/disi-unibo-nlp/medgenie/commits?author=disi-unibo-nlp,,,,,,,doc,yes,no,repo owner
41703,https://doi.org/10.1109/CVPR52729.2023.00768,39816,https://github.com/bytedance/mrecg,68091,https://github.com/bobma-bytedance,https://github.com/bytedance/mrecg/commits?author=bobma-bytedance,2,2755,0,2,2755,0,code,yes,no,
98844,https://doi.org/10.1109/ICCVW60793.2023.00359,95419,https://github.com/firefyf/scrollnet,73332,https://github.com/FireFYF,https://github.com/firefyf/scrollnet/commits?author=FireFYF,18,2960,396,18,2960,396,code,unclear,no,repo owner
114910,https://doi.org/10.18653/v1/2022.findings-emnlp.72,111212,https://github.com/yuvalkirstain/lm-evaluation-harness,136784,https://github.com/anthony-dipofi,https://github.com/yuvalkirstain/lm-evaluation-harness/commits?author=anthony-dipofi,6,230,142,412,17673,9958,code,no,no,commiter to original repo (this is forked)
53849,https://doi.org/10.1609/aaai.v35i16.17721,51518,https://github.com/yuyanislearning/ctrl-pg,82289,https://github.com/GuillemGSubies,https://github.com/yuyanislearning/ctrl-pg/commits?author=GuillemGSubies,5,9,7,1771,1587071,790641,code,no,yes,
